scenario,mode,mode_label,delta_accuracy_vs_baseline,delta_f1_vs_baseline,delta_precision_vs_baseline,delta_recall_vs_baseline,delta_auc_vs_baseline
w2_predict_w3,baseline_untyped,Baseline (untyped),0.0,0.0,0.0,0.0,0.0
w2_predict_w3,online_friend_only,online_friend only,0.003028009084027339,0.0016968702298443272,0.003850091648596732,-0.0008633093525179936,-0.003921208081458238
w2_predict_w3,online_enemy_only,online_enemy only,-0.0015140045420135584,-0.007195513694252309,0.003745234486764115,-0.018129496402877754,-0.008790079757280522
w2_predict_w3,offline_friend_only,offline_friend only,-0.001968205904617659,-0.002579650997091565,-0.001257920863626305,-0.004316546762589857,-0.00444480198588737
w2_predict_w3,offline_enemy_only,offline_enemy only,-0.0031794095382284837,-0.006400222006793466,-0.00010713358599956369,-0.012661870503597017,-0.008661134989771946
w2_predict_w3,friend_only,friend only,0.002573807721423238,-0.0023359909409408353,0.006673275681621793,-0.01151079136690647,-0.0015036660767233645
w2_predict_w3,enemy_only,enemy only,-0.005450416351248988,-0.011422518183291985,-0.00025146385616547917,-0.02244604316546761,-0.010293975682074241
w2_predict_w3,online_only,online only,0.002271006813020504,0.0017562169012999007,0.0023764700620696466,0.0008633093525179936,-0.0018829153929253994
w2_predict_w3,offline_only,offline only,-0.0036336109008325845,-0.002523407326496696,-0.00424732775352199,-0.0008633093525179936,-0.0028096628128808643
w2_self,baseline_untyped,Baseline (untyped),0.0,0.0,0.0,0.0,0.0
w2_self,online_friend_only,online_friend only,-0.003936411809235318,-0.005417923788573198,-0.0007218402325868123,-0.010349650349650297,-0.00022848438690026285
w2_self,online_enemy_only,online_enemy only,-0.007721423164269492,-0.0037475443852255097,-0.014276732077509124,0.006433566433566407,-0.008739643195088687
w2_self,offline_friend_only,offline_friend only,0.003028009084027228,0.0028786124507576005,0.0024826740548501425,0.0025174825174825166,-0.0021999122989223574
w2_self,offline_enemy_only,offline_enemy only,-0.008932626797880427,-0.00704892883733621,-0.011589016698076327,-0.0033566433566434295,-0.009009208613169228
w2_self,friend_only,friend only,-0.0019682059046177702,-0.0043112278524398695,0.0024023030175179816,-0.01118881118881121,0.0013035149668810808
w2_self,enemy_only,enemy only,-0.005299015897047621,-0.0022712732998353413,-0.010692044903790943,0.005594405594405605,-0.007519213459807661
w2_self,online_only,online only,-0.00045420136260421184,-0.002282687672150785,0.002353759858780613,-0.0072727272727273196,-0.0001816335479701836
w2_self,offline_only,offline only,-0.0003028009084027339,0.000349144384463429,-0.0015157425090950305,0.0016783216783216037,-0.00238177663920236
w3_self,baseline_untyped,Baseline (untyped),0.0,0.0,0.0,0.0,0.0
w3_self,online_friend_only,online_friend only,-0.01408024224072657,-0.015714899685527084,-0.010802688208983002,-0.020143884892086295,-0.008256602385822931
w3_self,online_enemy_only,online_enemy only,-0.00681302043906129,-0.009318608291172481,-0.0029256541798007296,-0.015251798561151109,-0.006927620842622995
w3_self,offline_friend_only,offline_friend only,-0.010900832702498087,-0.009821674076357478,-0.011267274462006704,-0.00834532374100716,-0.007702898384168044
w3_self,offline_enemy_only,offline_enemy only,-0.0062074186222559335,-0.006845314544564385,-0.004904115953512256,-0.00834532374100716,-0.00726204978509204
w3_self,friend_only,friend only,-0.010900832702497976,-0.010150933410177143,-0.010487654550866532,-0.009784172661870594,-0.00764428712620957
w3_self,enemy_only,enemy only,-0.004390613171839419,-0.0047418993535828236,-0.0033664867006896193,-0.006043165467625844,-0.007698071574689269
w3_self,online_only,online only,-0.007570022710068014,-0.009469399509543619,-0.004655500788535272,-0.013812949640287786,-0.0025508538855816276
w3_self,offline_only,offline only,-0.009084027252081683,-0.007056442553154962,-0.01127811814418933,-0.0031654676258991987,-0.006860505206058853
