school_id,class_name,seat_no,in_Online_Like,in_Online_Dislike,in_Offline_Like,in_Offline_Dislike
11301,801,1,1,0,1,1
11301,801,2,1,1,1,0
11301,801,3,1,1,1,1
11301,801,6,1,0,1,1
11301,801,9,1,0,1,0
11301,801,10,0,0,1,0
11301,801,11,1,1,1,1
11301,801,12,1,0,1,1
11301,801,13,1,0,1,0
11301,801,15,1,0,1,0
11301,801,16,1,1,1,1
11301,801,17,1,1,1,1
11301,801,18,1,1,1,0
11301,801,21,1,1,1,1
11301,801,22,1,1,1,0
11301,801,23,1,1,1,1
11301,801,24,1,1,1,1
11301,801,25,1,0,1,0
11301,801,26,1,0,1,0
11301,801,27,1,0,1,0
11301,801,28,1,0,1,0
11301,801,29,1,1,1,1
11301,801,31,1,0,1,0
11301,801,33,1,1,1,0
11301,801,34,1,1,1,0
11301,801,36,1,1,1,1
11301,801,37,1,1,1,1
11301,801,40,1,0,1,0
11301,805,1,1,1,1,1
11301,805,2,1,0,1,1
11301,805,3,1,1,1,1
11301,805,4,1,0,1,0
11301,805,5,1,0,1,0
11301,805,9,1,1,1,1
11301,805,10,1,1,1,1
11301,805,11,1,1,1,1
11301,805,12,1,0,1,1
11301,805,13,1,1,1,0
11301,805,14,1,1,1,1
11301,805,15,1,1,1,1
11301,805,16,1,0,1,0
11301,805,17,1,0,1,0
11301,805,18,1,0,1,1
11301,805,20,1,1,1,1
11301,805,21,1,0,1,0
11301,805,22,1,1,1,1
11301,805,25,1,1,1,1
11301,805,26,1,1,0,1
11301,805,27,1,1,1,1
11301,805,28,1,1,1,1
11301,805,30,1,1,1,1
11301,805,31,1,1,1,1
11301,805,33,1,1,1,1
11301,805,34,1,0,1,0
11301,805,35,1,0,1,0
11301,805,39,1,1,1,1
11306,108,1,1,1,1,1
11306,108,4,0,1,0,1
11306,108,5,0,0,1,0
11306,108,7,1,1,1,1
11306,108,12,1,0,1,1
11306,108,15,0,1,0,1
11306,108,16,1,0,0,0
11306,108,17,1,1,1,1
11306,108,20,1,1,1,1
11306,108,21,1,1,1,1
11306,108,22,1,0,1,0
11306,108,23,1,0,1,1
11306,108,24,1,0,1,1
11306,108,28,1,0,1,0
11306,108,29,1,0,1,0
11306,108,31,0,1,0,1
11306,108,32,1,1,1,1
11306,108,34,1,1,1,1
11306,108,35,1,1,1,1
11306,108,36,1,0,1,1
11306,108,37,1,1,1,0
11324,國二忠,2,1,0,1,0
11324,國二忠,3,1,0,1,1
11324,國二忠,4,1,0,1,0
11324,國二忠,5,1,0,1,0
11324,國二忠,7,1,0,1,0
11324,國二忠,9,1,0,1,1
11324,國二忠,10,1,1,1,1
11324,國二忠,11,0,1,0,1
11324,國二忠,13,1,0,1,0
11324,國二忠,14,1,1,1,1
11324,國二忠,15,1,1,1,1
11324,國二忠,17,1,0,1,0
11324,國二忠,18,1,0,1,0
11324,國二忠,19,1,0,1,0
11324,國二忠,20,1,0,1,1
11324,國二忠,22,1,0,1,0
11324,國二忠,23,1,1,1,1
11324,國二忠,24,1,1,1,1
11324,國二忠,26,1,0,1,0
11324,國二忠,27,1,1,1,0
11324,國二忠,28,1,0,1,0
11324,國二忠,29,1,0,1,0
11324,國二忠,30,1,0,1,0
11324,國二忠,31,1,1,1,1
11324,國二忠,32,1,0,1,0
11324,國二忠,33,1,0,1,0
11324,國二忠,34,1,1,0,1
11324,國二忠,35,1,0,1,0
11324,國二忠,36,0,1,1,1
11324,國二忠,37,1,0,1,0
11324,國二忠,38,1,0,1,0
