student_id,school_id,class,v13,nominated_seat_no,rank
s112011301024,11301,801.0,1,2,1
s112011301024,11301,801.0,1,12,2
s112011301024,11301,801.0,1,16,3
s112011301024,11301,801.0,1,18,4
s112011301024,11301,801.0,1,17,5
s112011301025,11301,801.0,2,9,1
s112011301025,11301,801.0,2,22,2
s112011301025,11301,801.0,2,16,3
s112011301025,11301,801.0,2,12,4
s112011301025,11301,801.0,2,1,5
s112011301028,11301,801.0,6,2,1
s112011301028,11301,801.0,6,12,2
s112011301028,11301,801.0,6,18,3
s112011301028,11301,801.0,6,17,4
s112011301028,11301,801.0,6,9,5
s112011301031,11301,801.0,9,2,1
s112011301031,11301,801.0,9,11,2
s112011301031,11301,801.0,9,22,3
s112011301032,11301,801.0,10,18,1
s112011301032,11301,801.0,10,16,2
s112011301032,11301,801.0,10,3,3
s112011301032,11301,801.0,10,7,4
s112011301032,11301,801.0,10,12,5
s112011301033,11301,801.0,11,9,2
s112011301033,11301,801.0,11,2,3
s112011301033,11301,801.0,11,15,4
s112011301034,11301,801.0,12,2,1
s112011301034,11301,801.0,12,16,2
s112011301034,11301,801.0,12,18,3
s112011301034,11301,801.0,12,1,4
s112011301034,11301,801.0,12,6,5
s112011301035,11301,801.0,13,29,1
s112011301035,11301,801.0,13,30,2
s112011301035,11301,801.0,13,32,3
s112011301035,11301,801.0,13,16,4
s112011301035,11301,801.0,13,2,5
s112011301037,11301,801.0,15,11,1
s112011301038,11301,801.0,16,18,1
s112011301038,11301,801.0,16,2,2
s112011301038,11301,801.0,16,1,3
s112011301038,11301,801.0,16,12,4
s112011301038,11301,801.0,16,30,5
s112011301039,11301,801.0,17,1,1
s112011301039,11301,801.0,17,2,2
s112011301039,11301,801.0,17,6,3
s112011301039,11301,801.0,17,12,4
s112011301039,11301,801.0,17,18,5
s112011301040,11301,801.0,18,16,1
s112011301040,11301,801.0,18,1,2
s112011301040,11301,801.0,18,17,3
s112011301040,11301,801.0,18,12,4
s112011301040,11301,801.0,18,6,5
s112011301042,11301,801.0,21,26,1
s112011301042,11301,801.0,21,27,2
s112011301042,11301,801.0,21,33,3
s112011301042,11301,801.0,21,40,4
s112011301042,11301,801.0,21,22,5
s112011301043,11301,801.0,22,2,1
s112011301043,11301,801.0,22,9,2
s112011301043,11301,801.0,22,23,3
s112011301043,11301,801.0,22,11,4
s112011301043,11301,801.0,22,24,5
s112011301044,11301,801.0,23,22,1
s112011301044,11301,801.0,23,24,2
s112011301044,11301,801.0,23,32,3
s112011301045,11301,801.0,24,23,1
s112011301045,11301,801.0,24,37,2
s112011301045,11301,801.0,24,36,3
s112011301045,11301,801.0,24,13,4
s112011301045,11301,801.0,24,22,5
s112011301046,11301,801.0,25,28,1
s112011301046,11301,801.0,25,32,2
s112011301046,11301,801.0,25,31,3
s112011301046,11301,801.0,25,26,4
s112011301046,11301,801.0,25,1,5
s112011301047,11301,801.0,26,27,1
s112011301047,11301,801.0,26,33,2
s112011301047,11301,801.0,26,21,3
s112011301047,11301,801.0,26,34,4
s112011301047,11301,801.0,26,40,5
s112011301048,11301,801.0,27,26,1
s112011301048,11301,801.0,27,33,2
s112011301048,11301,801.0,27,34,3
s112011301048,11301,801.0,27,40,4
s112011301048,11301,801.0,27,21,5
s112011301049,11301,801.0,28,30,1
s112011301049,11301,801.0,28,16,2
s112011301049,11301,801.0,28,18,3
s112011301049,11301,801.0,28,31,4
s112011301049,11301,801.0,28,32,5
s112011301050,11301,801.0,29,30,1
s112011301050,11301,801.0,29,28,2
s112011301050,11301,801.0,29,13,3
s112011301050,11301,801.0,29,31,4
s112011301050,11301,801.0,29,40,5
s112011301052,11301,801.0,31,25,1
s112011301052,11301,801.0,31,28,2
s112011301052,11301,801.0,31,32,3
s112011301052,11301,801.0,31,34,4
s112011301054,11301,801.0,33,26,1
s112011301054,11301,801.0,33,27,2
s112011301054,11301,801.0,33,34,3
s112011301055,11301,801.0,34,26,1
s112011301055,11301,801.0,34,27,2
s112011301055,11301,801.0,34,28,3
s112011301055,11301,801.0,34,31,4
s112011301055,11301,801.0,34,33,5
s112011301056,11301,801.0,36,24,1
s112011301056,11301,801.0,36,37,2
s112011301056,11301,801.0,36,23,3
s112011301057,11301,801.0,37,23,1
s112011301057,11301,801.0,37,24,2
s112011301057,11301,801.0,37,36,3
s112011301061,11301,805.0,1,2,1
s112011301061,11301,805.0,1,3,2
s112011301061,11301,805.0,1,4,3
s112011301061,11301,805.0,1,9,4
s112011301061,11301,805.0,1,17,5
s112011301062,11301,805.0,2,14,1
s112011301062,11301,805.0,2,17,2
s112011301062,11301,805.0,2,13,3
